code inra;PDIN;PDIE
CD0020;95;89
CD0030;114;100
CD0040;120;104
CD0050;157;127
CD0060;48;81
CD0070;45;81
CD0080;66;87
CD0090;102;100
CD0100;81;88
CD0110;102;100
CC0010;79;101
CC0020;69;69
CC0030;79;90
CC0040;109;110
CC0050;81;102
CC0060;74;97
CC0070;62;75
CC0080;67;97
CC0090;78;100
CC0100;72;96
CC0110;108;122
CC0120;89;94
CS0010;115;97
CS0020;107;87
CS0030;96;107
CS0040;111;102
CS0050;115;99
CS0060;108;91
CS0070;253;159
CS0080;204;129
CS0090;105;96
CS0100;107;98
CS0110;144;115
CS0120;562;514
CS0130;205;175
CS0140;77;95
CS0150;7;79
CS0160;31;63
CS0170;89;103
CS0180;218;182
CS0190;111;91
CS0200;100;94
CS0210;194;171
CS0220;151;98
CS0230;60;74
CS0240;112;108
CS0250;100;74
CN0010;130;66
CN0020;145;84
CN0030;198;112
CN0040;188;112
CN0050;161;84
CN0060;240;120
CN0070;221;138
CN0080;150;97
CN0090;146;105
CN0100;298;243
CN0110;269;177
CN0120;104;35
CN0130;154;94
CN0140;169;97
CN0150;181;101
CX0010;387;240
CX0020;385;237
CX0030;169;75
CX0040;247;155
CX0050;169;159
CX0060;334;229
CX0070;281;192
CX0080;256;202
CX0090;244;190
CX0100;116;124
CX0110;37;21
CX0120;323;188
CX0130;360;253
CX0140;377;261
CX0150;395;272
CX0160;201;105
CX0170;245;128
CF0010;22;71
CF0020;20;75
CF0030;32;75
CF0040;65;83
CF0050;486;459
CF0060;678;536
CF0070;108;83
CF0080;84;109
CF0090;39;50
CF0100;32;77
CF0110;320;146
CF0120;32;27
CF0130;83;72
CF0140;32;62
CF0150;31;19
CF0160;50;96
CF0170;66;109
CF0180;65;94
CF0190;61;101
CF0200;34;60
CF0210;87;111
CF0220;399;65
CF0230;379;63
CF0240;370;64
CA0010;74;77
CA0020;57;75
CA0030;75;78
CA0040;207;79
CA0050;140;58
CG0010;0;0
CG0030;0;0
CT0010;73;74
CT0020;74;78
CT0030;75;86
CT0040;93;130
CT0050;78;109
CT0060;78;109
CT0070;77;106
CT0080;63;69
CT0090;78;109
CT0100;78;109
CT0110;85;116
CT0120;152;118
CT0130;160;140
CT0140;170;137
CT0150;215;168
CT0160;232;207
CT0170;189;151
CT0180;281;201
CT0190;266;226
CT0200;166;127
CT0210;185;169
CT0220;269;166
CT0230;309;267
CT0240;254;173
CT0250;288;277
CT0260;269;205
CT0270;306;243
CT0280;380;276
CT0290;443;426
CT0300;253;232
CT0310;260;252
CV0010;1472;0
FV0010 ;143;106
FV0020;114;99
FV0030;88;91
FV0040;72;82
FV0050;61;74
FV0060;63;70
FV0070;103;99
FV0080;73;87
FV0090;70;81
FV0100;145;112
FV0110;104;99
FV0120;86;92
FV0130;135;108
FV0140;120;103
FV0150;139;108
FV0160;110;101
FV0170;99;95
FV0180;74;83
FV0190;61;73
FV0200;141;111
FV0210;114;102
FV0220;120;104
FV0230;78;83
FV0240;50;66
FV0250;96;92
FV0260;84;84
FV0270;56;64
FV0280;99;93
FV0290;147;98
FV0300;132;91
FV0310;72;79
FV0320;107;88
FV0330;88;80
FV0340;105;88
FV0350;120;91
FV0360;105;95
FV0370;120;100
FV0380;130;101
FV0390;121;94
FV0400;123;95
FV0410;108;94
FV0420;72;84
FV0430;67;81
FV0440;57;75
FV0450;51;73
FV0460;45;69
FV0470;38;64
FV0480;105;91
FV0490;97;87
FV0500;80;82
FV0510;70;76
FV0520;101;94
FV0530;95;91
FV0540;71;85
FV0550;124;102
FV0560;114;97
FV0570;112;97
FV0580;128;100
FV0590;143;101
FV0600;115;96
FV0610;99;92
FV0620;91;90
FV0630;77;85
FV0640;68;80
FV0650;66;76
FV0660;62;72
FV0670;62;71
FV0680;117;95
FV0690;101;94
FV0700;76;84
FV0710;67;81
FV0720;56;76
FV0730;48;72
FV0740;47;71
FV0750;44;69
FV0760;107;94
FV0770;92;90
FV0780;87;87
FV0790;81;85
FV0800;81;82
FV0810;117;100
FV0820;112;97
FV0830;95;91
FV0840;120;100
FV0850;116;97
FV0860;112;96
FV0870;109;94
FV0880;102;92
FV0890;130;102
FV0900;111;97
FV0910;107;96
FV0920;151;101
FV0930;132;99
FV0940;101;93
FV0950;87;89
FV0960;76;83
FV0970;73;78
FV0980;100;91
FV0990;118;99
FV1000;103;94
FV1010;86;89
FV1020;114;96
FV1030;106;92
FV1040;97;90
FV1050;124;93
FV1060;131;90
FV1070;106;86
FV1080;90;82
FV1090;83;79
FV1100;71;75
FV1110;66;73
FV1120;64;69
FV1130;62;67
FV1140;89;82
FV1150;105;91
FV1160;97;87
FV1170;87;82
FV1180;107;90
FV1190;103;88
FV1200;94;86
FV1210;153;101
FV1220;132;99
FV1230;158;100
FV1240;135;95
FV1250;124;93
FV1260;102;88
FV1270;92;85
FV1280;77;79
FV1290;71;76
FV1300;63;70
FV1310;61;68
FV1320;56;63
FV1330;107;92
FV1340;108;90
FV1350;101;89
FV1360;94;86
FV1370;93;85
FV1380;121;94
FV1390;113;92
FV1400;101;88
FV1410;95;86
FV1420;138;99
FV1430;122;96
FV1440;115;94
FV1450;112;93
FV1460;93;85
FV1470;130;97
FV1480;93;91
FV1490;64;79
FV1500;59;75
FV1510;57;72
FV1520;49;68
FV1530;47;64
FV1540;46;60
FV1550;101;93
FV1560;72;79
FV1570;62;73
FV1580;86;88
FV1590;81;87
FV1600;68;81
FV1610;103;94
FV1620;99;93
FV1630;85;88
FV1640;119;95
FV1650;97;91
FV1660;82;85
FV1670;67;82
FV1680;59;77
FV1690;49;73
FV1700;73;85
FV1710;75;84
FV1720;68;81
FV1730;117;95
FV1740;111;94
FV1750;98;90
FV1760;48;76
FV1770;46;76
FV1780;45;76
FV1790;46;77
FV1800;75;75
FV1810;62;71
FV1820;62;69
FV1830;54;68
FV1840;90;84
FV1850;64;71
FV1860;46;65
FV1870;45;66
FV1880;75;87
FV1890;64;78
FV1900;63;73
FV1910;42;62
FV1920;40;59
FV1930;138;107
FV1940;88;87
FV1950;84;84
FV1960;60;69
FV1970;35;61
FV1980;37;60
FV1990;119;93
FV2000;81;78
FV2010;77;76
FV2020;68;71
FV2030;55;66
FV2040;43;64
FV2050;103;87
FV2060;89;83
FV2070;78;78
FV2080;60;67
FV2090;159;100
FV2100;145;94
FV2110;132;90
FV2120;123;86
FV2130;114;83
FV2140;107;80
FV2150;141;90
FV2160;136;89
FV2170;125;85
FV2180;121;81
FV2190;112;77
FV2200;153;92
FV2210;145;88
FV2220;142;88
FV2230;128;83
FV2240;129;83
FV2250;166;94
